frame_index,component_id,length,centroid_x,centroid_y
0,1,181.0,39.430939226519335,69.0
0,2,62.0,282.33870967741933,125.5
0,3,53.0,297.0188679245283,121.0
0,4,29.0,47.3448275862069,145.48275862068965
0,5,36.0,178.0,185.47222222222223
0,6,89.0,88.12359550561797,236.0
0,7,57.0,92.63157894736842,304.0
0,8,112.0,52.375,360.5
1,1,142.0,38.53521126760563,83.21830985915493
1,2,87.0,280.1609195402299,136.0
1,3,54.0,297.2962962962963,122.5
1,4,35.0,178.05714285714285,185.0
1,5,116.0,88.12068965517241,235.2844827586207
1,6,57.0,93.40350877192982,306.0
1,7,110.0,52.8,360.5
2,1,157.0,38.77070063694268,78.62420382165605
2,2,54.0,297.1666666666667,120.5
2,3,68.0,280.4264705882353,134.52941176470588
2,4,67.0,177.82089552238807,181.73134328358208
2,5,31.0,98.61290322580645,208.03225806451613
2,6,51.0,78.84313725490196,259.0
2,7,58.0,92.8103448275862,304.5
2,8,113.0,52.575221238938056,360.0
3,1,163.0,38.79754601226994,81.17791411042944
3,2,53.0,297.1698113207547,115.0
3,3,89.0,280.2696629213483,135.0561797752809
3,4,32.0,50.34375,142.375
3,5,43.0,178.1860465116279,183.48837209302326
3,6,107.0,88.6822429906542,232.58878504672896
3,7,62.0,92.41935483870968,303.5
3,8,111.0,53.189189189189186,361.0
4,1,149.0,38.58389261744966,81.61744966442953
4,2,55.0,297.2909090909091,113.0
4,3,87.0,279.81609195402297,136.0
4,4,27.0,44.888888888888886,146.7037037037037
4,5,34.0,177.73529411764707,183.5
4,6,99.0,88.68686868686869,232.68686868686868
4,7,58.0,92.48275862068965,303.5
4,8,107.0,52.21495327102804,359.0
5,1,145.0,38.765517241379314,79.27586206896552
5,2,83.0,297.578313253012,109.87951807228916
5,3,86.0,279.9651162790698,135.5
5,4,34.0,179.1764705882353,183.5
5,5,91.0,86.84615384615384,237.35164835164835
5,6,59.0,92.66101694915254,303.0
5,7,114.0,52.85964912280702,360.4736842105263
6,1,157.0,38.35031847133758,78.64331210191082
6,2,74.0,298.1621621621622,101.78378378378379
6,3,42.0,283.7142857142857,113.5
6,4,25.0,45.36,145.64
6,5,37.0,177.35135135135135,182.86486486486487
6,6,106.0,86.83962264150944,239.28301886792454
6,7,65.0,93.53846153846153,307.0
6,8,125.0,50.376,354.536
6,9,45.0,231.13333333333333,385.55555555555554
7,1,163.0,38.423312883435585,74.75460122699387
7,2,49.0,297.2244897959184,115.95918367346938
7,3,73.0,281.52054794520546,127.32876712328768
7,4,29.0,43.206896551724135,146.68965517241378
7,5,43.0,178.02325581395348,182.0
7,6,42.0,97.73809523809524,209.78571428571428
7,7,48.0,78.0625,259.5
7,8,59.0,93.20338983050847,305.0
7,9,113.0,51.823008849557525,359.0
7,10,39.0,328.0,404.97435897435895
8,1,162.0,38.858024691358025,77.72222222222223
8,2,48.0,297.25,115.5
8,3,30.0,41.93333333333333,147.86666666666667
8,4,35.0,177.5142857142857,183.68571428571428
8,5,96.0,87.21875,235.70833333333334
8,6,55.0,91.6,302.0
8,7,113.0,52.389380530973455,359.0
8,8,39.0,328.0,404.97435897435895
9,1,162.0,39.20987654320987,75.65432098765432
9,2,50.0,297.64,115.5
9,3,62.0,282.35483870967744,124.5
9,4,32.0,178.09375,180.59375
9,5,81.0,88.0246913580247,234.98765432098764
9,6,55.0,93.96363636363637,306.0
9,7,112.0,52.982142857142854,359.5
10,1,160.0,39.625,73.35625
10,2,92.0,280.4891304347826,133.5
10,3,51.0,297.4117647058824,116.0
10,4,46.0,37.108695652173914,150.34782608695653
10,5,35.0,96.74285714285715,211.0
10,6,40.0,80.35,253.5
10,7,81.0,94.44444444444444,306.1604938271605
10,8,124.0,51.21774193548387,355.491935483871
11,1,145.0,39.4,77.90344827586208
11,2,51.0,297.4313725490196,117.01960784313725
11,3,41.0,283.8536585365854,115.0
11,4,29.0,42.62068965517241,146.75862068965517
11,5,37.0,177.56756756756758,182.67567567567568
11,6,81.0,89.71604938271605,231.0
11,7,63.0,92.55555555555556,306.0
11,8,110.0,51.9,357.5
11,9,39.0,328.0,404.97435897435895
12,1,174.0,39.90229885057471,70.63793103448276
12,2,64.0,282.546875,122.5
12,3,51.0,297.37254901960785,117.0
12,4,39.0,79.51282051282051,255.51282051282053
12,5,65.0,92.49230769230769,306.0
12,6,115.0,52.97391304347826,359.97391304347826
13,1,172.0,39.7906976744186,71.81976744186046
13,2,49.0,283.8775510204082,114.0
13,3,47.0,297.72340425531917,116.0
13,4,35.0,178.6,181.0
13,5,89.0,89.03370786516854,235.96629213483146
13,6,54.0,92.14814814814815,303.5
13,7,77.0,45.246753246753244,341.0
14,1,179.0,39.92178770949721,70.76536312849161
14,2,91.0,280.14285714285717,134.0
14,3,52.0,297.1730769230769,115.5
14,4,39.0,178.76923076923077,179.56410256410257
14,5,81.0,90.5925925925926,232.0
14,6,58.0,92.93103448275862,303.5
14,7,114.0,53.07017543859649,360.49122807017545
15,1,192.0,39.635416666666664,72.01041666666667
15,2,47.0,297.4468085106383,115.0
15,3,47.0,175.95744680851064,177.89361702127658
15,4,81.0,90.90123456790124,230.59259259259258
15,5,73.0,94.76712328767124,312.0
15,6,108.0,51.361111111111114,356.5
16,1,166.0,39.43975903614458,75.75301204819277
16,2,51.0,297.3137254901961,116.98039215686275
16,3,35.0,43.94285714285714,146.34285714285716
16,4,81.0,89.67901234567901,233.87654320987653
16,5,74.0,94.79729729729729,311.5
16,6,116.0,52.741379310344826,359.4913793103448
17,1,183.0,39.63934426229508,70.53005464480874
17,2,53.0,297.188679245283,115.0
17,3,72.0,281.3333333333333,128.5
17,4,27.0,177.59259259259258,180.0
17,5,60.0,93.58333333333333,225.5
17,6,60.0,90.81666666666666,299.35
17,7,137.0,48.45985401459854,348.2700729927007
18,1,187.0,39.973262032085564,68.34224598930481
18,2,51.0,297.1372549019608,115.0
18,3,78.0,280.8076923076923,138.5
18,4,99.0,87.98989898989899,239.08080808080808
18,5,55.0,91.27272727272727,302.0
18,6,113.0,52.584070796460175,359.0
19,1,165.0,39.52121212121212,75.61818181818182
19,2,51.0,296.94117647058823,114.0
19,3,44.0,284.22727272727275,128.5
19,4,39.0,178.30769230769232,179.0
19,5,88.0,89.81818181818181,235.89772727272728
19,6,60.0,92.86666666666666,305.5
19,7,98.0,48.775510204081634,350.5
20,1,150.0,40.43333333333333,72.07333333333334
20,2,51.0,297.4313725490196,115.0
20,3,48.0,276.375,157.5625
20,4,29.0,42.275862068965516,146.68965517241378
20,5,38.0,180.6315789473684,179.5
20,6,107.0,87.39252336448598,239.93457943925233
